uniprot_id,antigen_name,pathogen,length,molecular_weight,isoelectric_point,gravy,instability_index,aromaticity,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,label
P59632,ORF3a protein (UniProt:P59632),SARS-CoV-1,274,30902.3378,5.751560401916504,0.23941605839416055,37.03576642335765,0.1386861313868613,7.299270072992701,2.9197080291970803,5.109489051094891,2.9197080291970803,5.839416058394161,5.109489051094891,2.5547445255474455,8.02919708029197,4.37956204379562,9.854014598540147,1.8248175182481752,4.37956204379562,4.744525547445256,4.014598540145985,1.8248175182481752,5.474452554744525,8.394160583941606,7.299270072992701,1.8248175182481752,6.204379562043796,1
P59633,ORF3b protein (UniProt:P59633),SARS-CoV-1,154,17750.2615,10.818713569641115,0.09935064935064931,57.899350649350644,0.05844155844155844,3.2467532467532467,2.5974025974025974,0.0,0.6493506493506493,3.2467532467532467,1.2987012987012987,5.194805194805195,5.194805194805195,9.74025974025974,16.233766233766232,5.8441558441558445,1.2987012987012987,1.2987012987012987,7.792207792207792,4.545454545454546,9.74025974025974,13.636363636363637,5.8441558441558445,0.6493506493506493,1.948051948051948,1
P59634,ORF6 protein (UniProt:P59634),SARS-CoV-1,63,7526.786900000001,4.642290687561036,0.2968253968253968,25.78412698412699,0.1111111111111111,3.1746031746031744,0.0,7.936507936507937,7.936507936507937,6.349206349206349,0.0,1.5873015873015872,15.873015873015873,4.761904761904762,11.11111111111111,4.761904761904762,3.1746031746031744,4.761904761904762,3.1746031746031744,4.761904761904762,4.761904761904762,4.761904761904762,6.349206349206349,1.5873015873015872,3.1746031746031744,1
P59635,ORF7a protein (UniProt:P59635),SARS-CoV-1,122,13941.1652,8.24030055999756,0.21803278688524586,58.26721311475408,0.12295081967213115,6.557377049180328,4.918032786885246,1.639344262295082,6.557377049180328,8.19672131147541,3.278688524590164,3.278688524590164,5.737704918032787,4.918032786885246,13.114754098360656,0.819672131147541,1.639344262295082,4.918032786885246,4.098360655737705,4.918032786885246,5.737704918032787,9.836065573770492,5.737704918032787,0.0,4.098360655737705,1
P59636,ORF9b protein (UniProt:P59636),SARS-CoV-1,98,10802.3335,4.902556419372559,-0.12244897959183676,38.94795918367347,0.030612244897959186,8.16326530612245,0.0,6.122448979591836,5.1020408163265305,2.0408163265306123,3.061224489795918,1.0204081632653061,5.1020408163265305,3.061224489795918,11.224489795918368,5.1020408163265305,4.081632653061225,8.16326530612245,8.16326530612245,5.1020408163265305,6.122448979591836,8.16326530612245,9.183673469387756,0.0,1.0204081632653061,1
P59637,Envelope small membrane protein (UniProt:P59637),SARS-CoV-1,76,8360.9048,6.0056875228881825,1.1407894736842106,30.482894736842105,0.10526315789473685,5.2631578947368425,3.9473684210526314,1.3157894736842106,3.9473684210526314,5.2631578947368425,2.6315789473684212,0.0,3.9473684210526314,2.6315789473684212,18.42105263157895,1.3157894736842106,6.578947368421052,2.6315789473684212,0.0,2.6315789473684212,9.210526315789474,6.578947368421052,18.42105263157895,0.0,5.2631578947368425,1
P59594,Spike glycoprotein (UniProt:P59594),SARS-CoV-1,1255,139123.5359,5.562059211730956,-0.045019920318725114,32.41882071713161,0.11792828685258964,6.693227091633466,3.1075697211155378,5.816733067729084,3.346613545816733,6.613545816733068,6.294820717131474,1.1952191235059761,6.2151394422310755,4.780876494023905,7.888446215139442,1.593625498007968,6.4541832669322705,4.54183266932271,4.382470119521912,3.1075697211155378,7.649402390438247,7.888446215139442,7.250996015936255,0.8764940239043825,4.302788844621514,1
P59595,Nucleoprotein (UniProt:P59595),SARS-CoV-1,422,46024.4626,10.113687324523923,-1.0265402843601896,52.280142180094806,0.06872037914691943,8.056872037914692,0.0,5.213270142180095,3.3175355450236967,3.080568720379147,10.663507109004739,1.1848341232227488,2.6066350710900474,6.872037914691943,6.161137440758294,1.6587677725118484,5.924170616113744,7.345971563981043,8.056872037914692,7.345971563981043,8.293838862559241,7.819905213270142,2.6066350710900474,1.1848341232227488,2.6066350710900474,1
P59596,Membrane protein (UniProt:P59596),SARS-CoV-1,221,25060.217599999996,9.632817649841307,0.41674208144796376,30.441176470588225,0.12217194570135746,8.597285067873303,1.3574660633484164,2.7149321266968327,3.167420814479638,4.97737556561086,6.787330316742081,1.3574660633484164,8.144796380090497,2.7149321266968327,14.027149321266968,3.167420814479638,5.882352941176471,2.262443438914027,2.262443438914027,6.787330316742081,5.429864253393665,5.882352941176471,7.239819004524887,3.167420814479638,4.072398190045249,1
P06821,Matrix protein 2 (UniProt:P06821),Influenza_A,97,11044.571699999999,5.681818962097168,-0.20721649484536084,42.82061855670102,0.09278350515463916,5.154639175257732,3.0927835051546393,5.154639175257732,9.278350515463918,4.123711340206185,8.24742268041237,2.0618556701030926,9.278350515463918,5.154639175257732,10.309278350515465,2.0618556701030926,3.0927835051546393,4.123711340206185,2.0618556701030926,7.216494845360825,7.216494845360825,3.0927835051546393,4.123711340206185,2.0618556701030926,3.0927835051546393,1
Q7TFA0,ORF8a protein (UniProt:Q7TFA0),SARS-CoV-1,39,4327.2761,8.300256156921389,0.6435897435897436,27.074358974358972,0.0,2.5641025641025643,15.384615384615385,2.5641025641025643,2.5641025641025643,0.0,0.0,5.128205128205129,7.6923076923076925,7.6923076923076925,12.820512820512821,2.5641025641025643,2.5641025641025643,5.128205128205129,5.128205128205129,2.5641025641025643,7.6923076923076925,5.128205128205129,12.820512820512821,0.0,0.0,1
Q7TFA1,Protein non-structural 7b (UniProt:Q7TFA1),SARS-CoV-1,44,5302.4157,4.0500284194946286,1.4136363636363636,39.77522727272727,0.18181818181818182,2.272727272727273,4.545454545454546,4.545454545454546,9.090909090909092,13.636363636363637,0.0,0.0,11.363636363636363,2.272727272727273,25.0,4.545454545454546,2.272727272727273,2.272727272727273,2.272727272727273,0.0,2.272727272727273,4.545454545454546,4.545454545454546,2.272727272727273,2.272727272727273,1
Q7TLC7,Uncharacterized protein 14 (UniProt:Q7TLC7),SARS-CoV-1,70,7852.2483999999995,6.250095176696779,0.31,26.667142857142853,0.05714285714285714,12.857142857142858,5.714285714285714,0.0,10.0,1.4285714285714286,1.4285714285714286,4.285714285714286,4.285714285714286,5.714285714285714,15.714285714285714,1.4285714285714286,1.4285714285714286,7.142857142857143,7.142857142857143,2.857142857142857,2.857142857142857,1.4285714285714286,10.0,1.4285714285714286,2.857142857142857,1
P0C0U1,Protein PB1-F2 (UniProt:P0C0U1),Influenza_A,87,10483.138299999999,10.751086235046387,-0.8206896551724139,50.01724137931033,0.08045977011494253,0.0,1.1494252873563218,2.2988505747126435,3.4482758620689653,2.2988505747126435,4.597701149425287,4.597701149425287,4.597701149425287,9.195402298850574,10.344827586206897,4.597701149425287,3.4482758620689653,4.597701149425287,11.494252873563218,8.045977011494253,5.747126436781609,8.045977011494253,5.747126436781609,4.597701149425287,1.1494252873563218,1
P03452,Hemagglutinin (UniProt:P03452),Influenza_A,565,63352.1339,6.519057273864747,-0.3642477876106195,36.78623008849556,0.09557522123893805,5.663716814159292,2.831858407079646,3.5398230088495577,7.079646017699115,3.185840707964602,7.433628318584071,2.3008849557522124,6.1946902654867255,6.548672566371682,9.20353982300885,1.9469026548672566,8.849557522123893,3.7168141592920354,3.0088495575221237,3.5398230088495577,7.787610619469026,4.95575221238938,5.84070796460177,1.7699115044247788,4.601769911504425,1
P03468,Neuraminidase (UniProt:P03468),Influenza_A,454,50120.103,6.776594734191894,-0.2533039647577093,30.45418502202643,0.1013215859030837,3.5242290748898677,4.185022026431718,5.506607929515418,3.9647577092511015,3.5242290748898677,9.691629955947137,2.202643171806167,8.810572687224669,5.066079295154185,4.6255506607929515,1.7621145374449338,5.506607929515418,4.6255506607929515,2.4229074889867843,4.185022026431718,11.45374449339207,6.167400881057269,6.167400881057269,3.5242290748898677,3.0837004405286343,1
P03466,Nucleoprotein (UniProt:P03466),Influenza_A,498,56209.1838,9.360567665100099,-0.5813253012048193,42.99781124497991,0.0783132530120482,7.831325301204819,1.2048192771084338,4.417670682730924,7.228915662650603,3.6144578313253013,8.23293172690763,1.2048192771084338,5.421686746987952,4.216867469879518,6.626506024096385,5.020080321285141,5.421686746987952,3.4136546184738954,4.216867469879518,9.839357429718875,7.831325301204819,5.622489959839357,4.417670682730924,1.2048192771084338,3.0120481927710845,1
P03485,Matrix protein 1 (UniProt:P03485),Influenza_A,252,27892.981499999998,9.424713706970216,-0.2146825396825397,37.74563492063491,0.051587301587301584,9.920634920634921,1.1904761904761905,2.380952380952381,6.746031746031746,2.7777777777777777,6.349206349206349,1.9841269841269842,4.365079365079365,5.158730158730159,10.317460317460318,5.555555555555555,4.365079365079365,3.1746031746031744,5.9523809523809526,6.746031746031746,7.142857142857143,7.142857142857143,6.349206349206349,0.3968253968253968,1.9841269841269842,1
P03496,Non-structural protein 1 (UniProt:P03496),Influenza_A,230,25867.449099999998,6.213945579528808,-0.3378260869565218,52.071739130434786,0.052173913043478265,6.956521739130435,0.8695652173913043,6.521739130434782,7.826086956521739,3.0434782608695654,6.086956521739131,0.8695652173913043,6.086956521739131,5.217391304347826,10.434782608695652,3.9130434782608696,3.4782608695652173,4.782608695652174,3.4782608695652173,8.695652173913043,6.956521739130435,6.086956521739131,6.521739130434782,1.7391304347826086,0.43478260869565216,1
P03428,Polymerase basic protein 2 (UniProt:P03428),Influenza_A,759,86093.5711,9.589430427551267,-0.3227931488801054,46.6877470355733,0.06719367588932806,5.797101449275362,0.6587615283267457,4.216073781291173,6.851119894598155,3.2938076416337285,6.324110671936759,1.3175230566534915,7.1146245059288535,5.797101449275362,7.7733860342556,4.743083003952569,4.479578392621871,3.820816864295125,4.743083003952569,8.168642951251647,6.851119894598155,6.719367588932807,7.905138339920948,1.3175230566534915,2.1080368906455864,1
P03431,RNA-directed RNA polymerase catalytic subunit (UniProt:P03431),Influenza_A,757,86575.467,9.389771842956542,-0.5143989431968297,43.10782034346112,0.08850726552179657,5.416116248348745,1.321003963011889,4.095112285336856,6.472919418758257,4.359313077939234,6.208718626155878,1.321003963011889,6.07661822985469,6.605019815059445,7.5297225891677675,5.284015852047556,6.472919418758257,4.227212681638045,4.095112285336856,7.001321003963012,6.605019815059445,8.058124174372523,4.359313077939234,1.1889035667107002,3.3025099075297226,1
P03433,Polymerase acidic protein (UniProt:P03433),Influenza_A,716,82587.4398,5.383186912536622,-0.4685754189944134,48.76075418994425,0.09497206703910614,5.167597765363128,2.094972067039106,5.027932960893855,10.754189944134078,5.027932960893855,5.027932960893855,1.8156424581005586,6.843575418994414,7.402234636871508,8.938547486033519,3.4916201117318435,4.748603351955308,4.329608938547486,2.653631284916201,5.58659217877095,7.262569832402234,5.167597765363128,4.189944134078212,1.675977653631285,2.793296089385475,1
P0C6U8,Replicase polyprotein 1a (UniProt:P0C6U8),SARS-CoV-1,4382,486367.4002,5.913835716247559,-0.020127795527156565,35.50988361478806,0.09675947056138749,7.416704701049749,3.2861706983112735,5.043359196713829,5.476951163852123,4.450022820629849,6.138749429484254,1.9625741670470105,4.837973528069375,5.887722501141032,10.132359653126427,2.5330899132816067,4.883614787768143,3.788224554997718,3.3546325878594248,3.331811958010041,6.800547695116385,7.302601551802829,8.146964856230031,1.0269283432222729,4.198995892286627,1
P0C6X7,Replicase polyprotein 1ab (UniProt:P0C6X7),SARS-CoV-1,7073,790239.6109999999,6.194336128234863,-0.07066308497101656,33.64565389509317,0.10349215325887177,7.224657146896649,3.294217446628022,5.598755832037325,4.905980489184222,4.679768132334229,5.92393609500919,2.2621235684999292,4.849427399971724,5.867383005796691,9.529195532305952,2.5024741976530467,5.174607662943588,3.873886611056129,3.3083557189311468,3.6618125265092605,6.475328714831048,6.998444790046657,8.200197935812243,1.088646967340591,4.580800226212357,1
P03508,Nuclear export protein (UniProt:P03508),Influenza_A,121,14380.3335,5.204087257385253,-0.4388429752066116,55.19834710743802,0.08264462809917356,1.6528925619834711,0.0,4.132231404958677,11.570247933884298,5.785123966942149,4.132231404958677,2.479338842975207,6.6115702479338845,4.958677685950414,14.049586776859504,5.785123966942149,4.132231404958677,0.8264462809917356,8.264462809917354,6.6115702479338845,9.090909090909092,4.132231404958677,3.3057851239669422,1.6528925619834711,0.8264462809917356,1
